model_variant,home_team,away_team,mercado,seleccion,cuota,prob_modelo,ev_pct,win,profit,resultado_real
ensemble_calibrated,Poland,Saudi Arabia,1X2-A,Saudi Arabia,5.35,0.3146,68.3,False,-1.0,2-0
xgb_clean,Poland,Saudi Arabia,1X2-D,Draw,3.59,0.2922,4.9,False,-1.0,2-0
poisson_dixon_coles,Poland,Saudi Arabia,1X2-D,Draw,3.59,0.2995,7.52,False,-1.0,2-0
ensemble_raw,Poland,Saudi Arabia,1X2-D,Draw,3.59,0.2975,6.79,False,-1.0,2-0
ensemble_calibrated,Poland,Saudi Arabia,1X2-D,Draw,3.59,0.3082,10.66,False,-1.0,2-0
xgb_clean,France,Denmark,1X2-A,Denmark,4.89,0.2145,4.91,False,-1.0,2-1
poisson_dixon_coles,France,Denmark,1X2-A,Denmark,4.89,0.2094,2.4,False,-1.0,2-1
ensemble_raw,France,Denmark,1X2-A,Denmark,4.89,0.2108,3.09,False,-1.0,2-1
ensemble_calibrated,France,Denmark,1X2-A,Denmark,4.89,0.2089,2.17,False,-1.0,2-1
xgb_clean,France,Denmark,1X2-H,France,1.85,0.4507,-16.62,True,0.85,2-1
poisson_dixon_coles,France,Denmark,1X2-H,France,1.85,0.5276,-2.39,True,0.85,2-1
ensemble_raw,France,Denmark,1X2-H,France,1.85,0.5063,-6.34,True,0.85,2-1
ensemble_calibrated,France,Denmark,1X2-H,France,1.85,0.4715,-12.76,True,0.85,2-1
xgb_clean,France,Denmark,1X2-D,Draw,3.62,0.3348,21.19,False,-1.0,2-1
poisson_dixon_coles,France,Denmark,1X2-D,Draw,3.62,0.263,-4.79,False,-1.0,2-1
